"","u1","u2"
"wl",0.174137224774759,0.563071769763546
"rhw",0.51762388864309,-0.243900313584408
"rml",0.0624581353110657,-0.636864692958773
"rew",0.84115165607768,0.181391208528478
"rsl",0.797849638232178,0.058997209254611
"rfl",0.429319484291816,0.0636906239510651
"rcl",0.501405909268692,-0.255589761721856
"ns_1",0.219348162456385,-0.919851443453073
"ns_2",-0.219348162456385,0.919851443453072
"diet_1",-0.695481207024116,0.0805780692963864
"diet_2",-0.433496361058178,-0.49007337128456
"diet_3",0.849824781939695,0.44808743598477
"diet_4",0.0399310205597573,-0.435488134038166
"rich",-0.134338890643184,0.359400285131375
"frich",-0.821892603881807,0.219467691358649
